Time,Velocity,Omega
1571250144.898789,0.300000,0.019921
1571250144.946558,0.300000,-0.502940
1571250144.986775,0.300000,-0.161397
1571250145.028187,0.300000,0.142650
1571250145.070949,0.300000,-0.045103
1571250145.115022,0.300000,-0.038021
1571250145.164980,0.300000,0.183746
1571250145.201686,0.300000,0.311716
1571250145.248208,0.300000,0.116031
1571250145.297532,0.300000,0.639240
1571250145.362631,0.300000,0.225367
1571250145.410434,0.300000,2.935595
1571250145.436792,0.300000,2.489330
1571250145.491876,0.300000,2.865547
1571250145.543399,0.300000,0.672172
1571250145.589300,0.300000,2.586952
1571250145.640684,0.300000,0.133400
1571250145.687674,0.300000,0.158816
1571250145.719325,0.300000,-0.032032
1571250145.767423,0.300000,-0.383197
1571250145.817549,0.300000,-0.425260
1571250145.871713,0.300000,3.114621
1571250145.920980,0.300000,2.900588
1571250145.975597,0.300000,-0.410057
1571250146.032842,0.300000,-0.570465
1571250146.060957,0.300000,-0.499766
1571250146.122726,0.300000,-0.763642
1571250146.175039,0.300000,-0.333855
1571250146.218698,0.300000,1.169026
1571250146.272266,0.300000,-0.510998
1571250146.333713,0.300000,1.780550
1571250146.364458,0.300000,0.953656
1571250146.419032,0.300000,1.656775
1571250146.479823,0.300000,1.539226
1571250146.544984,0.300000,-0.442281
1571250146.592487,0.300000,-0.678410
1571250146.646319,0.300000,1.599113
1571250146.693106,0.300000,-1.003743
1571250146.735808,0.300000,2.930919
1571250146.800576,0.300000,-1.245801
1571250146.830650,0.300000,2.843912
1571250146.876771,0.300000,-1.658201
1571250146.927894,0.300000,-2.049070
1571250146.985610,0.300000,-0.649526
1571250147.043533,0.300000,-1.610053
1571250147.090570,0.300000,-1.766773
1571250147.145211,0.300000,1.699429
1571250147.195588,0.300000,-1.861482
1571250147.244007,0.300000,-1.933627
1571250147.287375,0.300000,-2.036030
1571250147.348681,0.300000,2.040694
1571250147.399546,0.300000,-1.575369
1571250147.460039,0.300000,-1.052014
1571250147.495770,0.300000,-0.319082
1571250147.550067,0.300000,-1.131609
1571250147.624737,0.300000,1.133613
1571250147.655702,0.300000,1.193796
1571250147.702236,0.300000,2.729918
1571250147.754723,0.300000,2.926404
1571250147.795373,0.300000,2.906430
1571250147.839314,0.300000,1.635882
1571250147.885787,0.300000,2.956447
1571250147.933701,0.300000,3.674500
1571250147.992676,0.300000,3.269812
